# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    20.206130047   20.206130039   20.206130046
    3.821273758    4.623244256    4.623240680    4.623244386
    3.831277092    4.628285321    4.628281745    4.628285452
    3.841280427    4.633372448    4.633368872    4.633372578
    3.851283761    4.638506429    4.638502853    4.638506559
    3.861287096    4.643688079    4.643684503    4.643688210
    3.871290430    4.648918240    4.648914663    4.648918370
    3.881293765    4.654197776    4.654194200    4.654197906
    3.891297099    4.659527580    4.659524004    4.659527711
    3.901300433    4.664908574    4.664904998    4.664908705
    3.911303768    4.670341706    4.670338130    4.670341837
    3.921307102    4.675827957    4.675824381    4.675828087
    3.931310437    4.681368338    4.681364761    4.681368468
    3.941313771    4.686963893    4.686960316    4.686964023
    3.951317106    4.692615702    4.692612125    4.692615832
    3.961320440    4.698324880    4.698321303    4.698325010
    3.971323775    4.704092581    4.704089004    4.704092711
    3.981327109    4.709919997    4.709916420    4.709920127
    3.991330443    4.715808363    4.715804786    4.715808493
    4.001333778    4.721758957    4.721755380    4.721759087
    4.011337112    4.727773102    4.727769525    4.727773232
    4.021340447    4.733852170    4.733848594    4.733852301
    4.031343781    4.739997584    4.739994007    4.739997714
    4.041347116    4.746210816    4.746207240    4.746210947
    4.051350450    4.752493398    4.752489822    4.752493529
    4.061353785    4.758846919    4.758843342    4.758847049
    4.071357119    4.765273027    4.765269450    4.765273157
    4.081360453    4.771773437    4.771769860    4.771773567
    4.091363788    4.778349933    4.778346356    4.778350063
    4.101367122    4.785004368    4.785000791    4.785004498
    4.111370457    4.791738673    4.791735097    4.791738804
    4.121373791    4.798554860    4.798551283    4.798554990
    4.131377126    4.805455021    4.805451444    4.805455152
    4.141380460    4.812441343    4.812437766    4.812441473
    4.151383795    4.819516104    4.819512527    4.819516234
    4.161387129    4.826681683    4.826678106    4.826681813
    4.171390463    4.833940565    4.833936988    4.833940695
    4.181393798    4.841295348    4.841291771    4.841295478
    4.191397132    4.848748750    4.848745172    4.848748880
    4.201400467    4.856303613    4.856300036    4.856303744
    4.211403801    4.863962918    4.863959341    4.863963048
    4.221407136    4.871729786    4.871726209    4.871729916
    4.231410470    4.879607492    4.879603915    4.879607622
    4.241413805    4.887599474    4.887595897    4.887599604
    4.251417139    4.895709343    4.895705766    4.895709474
    4.261420473    4.903940896    4.903937319    4.903941026
    4.271423808    4.912298128    4.912294550    4.912298258
    4.281427142    4.920785244    4.920781667    4.920785375
    4.291430477    4.929406680    4.929403102    4.929406810
    4.301433811    4.938167111    4.938163533    4.938167241
    4.311437146    4.947071475    4.947067898    4.947071605
    4.321440480    4.956124991    4.956121413    4.956125121
    4.331443815    4.965333178    4.965329600    4.965333308
    4.341447149    4.974701881    4.974698303    4.974702011
    4.351450483    4.984237292    4.984233714    4.984237422
    4.361453818    4.993945985    4.993942407    4.993946115
    4.371457152    5.003834938    5.003831360    5.003835068
    4.381460487    5.013911572    5.013907994    5.013911702
    4.391463821    5.024183785    5.024180207    5.024183915
    4.401467156    5.034659995    5.034656417    5.034660125
    4.411470490    5.045349182    5.045345603    5.045349312
    4.421473825    5.056260937    5.056257358    5.056261067
    4.431477159    5.067405519    5.067401941    5.067405649
    4.441480493    5.078793917    5.078790339    5.078794047
    4.451483828    5.090437910    5.090434332    5.090438040
    4.461487162    5.102350150    5.102346572    5.102350280
    4.471490497    5.114544241    5.114540663    5.114544371
    4.481493831    5.127034833    5.127031254    5.127034963
    4.491497166    5.139837725    5.139834146    5.139837855
    4.501500500    5.152969985    5.152966406    5.152970115
    4.511503835    5.166450078    5.166446499    5.166450208
    4.521507169    5.180298015    5.180294436    5.180298144
    4.531510504    5.194535517    5.194531939    5.194535647
    4.541513838    5.209186209    5.209182630    5.209186338
    4.551517172    5.224275823    5.224272244    5.224275953
    4.561520507    5.239832448    5.239828869    5.239832578
    4.571523841    5.255886801    5.255883222    5.255886931
    4.581527176    5.272472539    5.272468960    5.272472669
    4.591530510    5.289626614    5.289623035    5.289626744
    4.601533845    5.307389688    5.307386109    5.307389817
    4.611537179    5.325806592    5.325803012    5.325806721
    4.621540514    5.344926870    5.344923291    5.344927000
    4.631543848    5.364805396    5.364801817    5.364805526
    4.641547182    5.385503087    5.385499507    5.385503216
    4.651550517    5.407087722    5.407084143    5.407087852
    4.661553851    5.429634901    5.429631322    5.429635031
    4.671557186    5.453229138    5.453225559    5.453229268
    4.681560520    5.477965133    5.477961553    5.477965262
    4.691563855    5.503949238    5.503945659    5.503949368
    4.701567189    5.531301150    5.531297571    5.531301280
    4.711570524    5.560155840    5.560152261    5.560155970
    4.721573858    5.590665757    5.590662178    5.590665887
    4.731577192    5.623003296    5.622999717    5.623003426
    4.741580527    5.657363513    5.657359934    5.657363643
    4.751583861    5.693967012    5.693963432    5.693967141
    4.761587196    5.733062820    5.733059240    5.733062949
    4.771590530    5.774930915    5.774927335    5.774931044
    4.781593865    5.819883734    5.819880154    5.819883863
    4.791597199    5.868265462    5.868261882    5.868265591
    4.801600534    5.920446924    5.920443344    5.920447054
    4.811603868    5.976812195    5.976808615    5.976812324
    4.821607202    6.037729962    6.037726381    6.037730091
    4.831610537    6.103497229    6.103493648    6.103497358
    4.841613871    6.174233111    6.174229530    6.174233240
    4.851617206    6.249682984    6.249679404    6.249683114
    4.861620540    6.328862594    6.328859014    6.328862724
    4.871623875    6.409420366    6.409416786    6.409420496
    4.881627209    6.486519273    6.486515692    6.486519402
    4.891630544    6.550957818    6.550954237    6.550957947
    4.901633878    6.586289469    6.586285889    6.586289599
    4.911637212    6.565306318    6.565302737    6.565306447
    4.921640547    6.448494752    6.448491171    6.448494882
    4.931643881    6.191935660    6.191932080    6.191935790
    4.941647216    5.774987896    5.774984316    5.774988026
    4.951650550    5.240560497    5.240556917    5.240560627
    4.961653885    4.699989826    4.699986246    4.699989956
    4.971657219    4.268745599    4.268742019    4.268745729
    4.981660554    3.997335019    3.997331439    3.997335149
    4.991663888    3.869641150    3.869637570    3.869641280
    5.001667222    3.842428909    3.842425329    3.842429039
    5.011670557    3.875157888    3.875154308    3.875158018
    5.021673891    3.939408708    3.939405128    3.939408838
    5.031677226    4.017837205    4.017833624    4.017837335
    5.041680560    4.100678027    4.100674446    4.100678156
    5.051683895    4.182766625    4.182763045    4.182766755
    5.061687229    4.261569614    4.261566033    4.261569743
    5.071690564    4.336005512    4.336001931    4.336005642
    5.081693898    4.405770224    4.405766643    4.405770353
    5.091697232    4.470959971    4.470956390    4.470960100
    5.101700567    4.531863531    4.531859950    4.531863661
    5.111703901    4.588849392    4.588845811    4.588849521
    5.121707236    4.642305764    4.642302183    4.642305894
    5.131710570    4.692609919    4.692606338    4.692610049
    5.141713905    4.740113687    4.740110106    4.740113816
    5.151717239    4.785137759    4.785134178    4.785137889
    5.161720574    4.827970682    4.827967101    4.827970811
    5.171723908    4.868870227    4.868866646    4.868870357
    5.181727242    4.908065873    4.908062291    4.908066002
    5.191730577    4.945761685    4.945758104    4.945761815
    5.201733911    4.982139234    4.982135653    4.982139364
    5.211737246    5.017360354    5.017356772    5.017360483
    5.221740580    5.051569662    5.051566080    5.051569791
    5.231743915    5.084896815    5.084893233    5.084896944
    5.241747249    5.117458497    5.117454916    5.117458627
    5.251750584    5.149360165    5.149356584    5.149360295
    5.261753918    5.180697571    5.180693989    5.180697700
    5.271757252    5.211558087    5.211554505    5.211558216
    5.281760587    5.242021864    5.242018282    5.242021993
    5.291763921    5.272162842    5.272159260    5.272162972
    5.301767256    5.302049632    5.302046050    5.302049762
    5.311770590    5.331746294    5.331742712    5.331746423
